證券代碼,年月日,收盤價(元),收盤價(元)_週
3045 台灣大,2006/3/3,29.9,18.86
4904 遠傳,2006/3/3,39,21.82
6505 台塑化,2006/3/3,57.5,31.81
9904 寶成,2006/3/3,23.25,10.3
0050 元大台灣50,2006/3/10,51.6,32.79
1101 台泥,2006/3/10,25.7,11.75
1102 亞泥,2006/3/10,22.5,8.46
1216 統一,2006/3/10,19.85,7.87
1301 台塑,2006/3/10,50.3,22.77
1303 南亞,2006/3/10,46.65,22.52
1402 遠東新,2006/3/10,24.4,11.11
2002 中鋼,2006/3/10,28.8,11.73
2105 正新,2006/3/10,24.15,5.78
2301 光寶科,2006/3/10,42.9,22.81
2303 聯電,2006/3/10,19.15,13.38
2308 台達電,2006/3/10,79.8,39.12
2317 鴻海,2006/3/10,199.5,47.17
2327 國巨,2006/3/10,12.1,29.68
2330 台積電,2006/3/10,61.4,33.81
2354 鴻準,2006/3/10,173,55.27
2357 華碩,2006/3/10,94,142.61
2382 廣達,2006/3/10,49.4,21.25
2395 研華,2006/3/10,87,33.82
2408 南亞科,2006/3/10,18.6,344.9
2409 友達,2006/3/10,49.55,29.63
2412 中華電,2006/3/10,59.3,31.79
2454 聯發科,2006/3/10,333.5,154.7
2474 可成,2006/3/10,292,93.06
2492 華新科,2006/3/10,31.2,24.26
2801 彰銀,2006/3/10,17.5,8.23
2823 中壽,2006/3/10,10.1,3.57
2880 華南金,2006/3/10,22.75,8.64
2881 富邦金,2006/3/10,27.1,14.48
2882 國泰金,2006/3/10,59.6,29.99
2883 開發金,2006/3/10,12,6.69
2884 玉山金,2006/3/10,20.95,7.37
2885 元大金,2006/3/10,11.25,7.02
2886 兆豐金,2006/3/10,22.85,11.11
2887 台新金,2006/3/10,18.1,8.55
2890 永豐金,2006/3/10,16.25,7.82
2891 中信金,2006/3/10,24.45,8.23
2892 第一金,2006/3/10,23.65,8.52
2912 統一超,2006/3/10,70,38.99
3008 大立光,2006/3/10,579,396.16
3045 台灣大,2006/3/10,31.45,19.83
4904 遠傳,2006/3/10,39.5,22.1
6505 台塑化,2006/3/10,56.6,31.32
9904 寶成,2006/3/10,23.2,10.28
0050 元大台灣50,2006/3/17,52,33.05
1101 台泥,2006/3/17,24.9,11.38
1102 亞泥,2006/3/17,21.6,8.12
1216 統一,2006/3/17,19.9,7.89
1301 台塑,2006/3/17,51.4,23.27
1303 南亞,2006/3/17,49.05,23.67
1402 遠東新,2006/3/17,23,10.47
2002 中鋼,2006/3/17,29.1,11.85
2105 正新,2006/3/17,23.85,5.7
2301 光寶科,2006/3/17,44.8,23.82
2303 聯電,2006/3/17,19.25,13.45
2308 台達電,2006/3/17,77.4,37.94
2317 鴻海,2006/3/17,201.5,47.65
2327 國巨,2006/3/17,12.3,30.17
2330 台積電,2006/3/17,60.7,33.42
2354 鴻準,2006/3/17,198,63.26
2357 華碩,2006/3/17,92,139.58
2382 廣達,2006/3/17,52,22.37
2395 研華,2006/3/17,86.8,33.74
2408 南亞科,2006/3/17,18.55,343.97
2409 友達,2006/3/17,47.55,28.43
2412 中華電,2006/3/17,60,32.17
2454 聯發科,2006/3/17,368.5,170.93
2474 可成,2006/3/17,309,98.48
2492 華新科,2006/3/17,33.9,26.36
2801 彰銀,2006/3/17,17.8,8.37
2823 中壽,2006/3/17,10.05,3.55
2880 華南金,2006/3/17,21.9,8.32
2881 富邦金,2006/3/17,26.55,14.19
2882 國泰金,2006/3/17,59.4,29.89
2883 開發金,2006/3/17,11.75,6.55
2884 玉山金,2006/3/17,20.8,7.32
2885 元大金,2006/3/17,11.05,6.89
2886 兆豐金,2006/3/17,23,11.19
2887 台新金,2006/3/17,17.65,8.34
2890 永豐金,2006/3/17,15.2,7.31
2891 中信金,2006/3/17,24.25,8.16
2892 第一金,2006/3/17,22.9,8.25
2912 統一超,2006/3/17,67,37.32
3008 大立光,2006/3/17,578,395.48
3045 台灣大,2006/3/17,30.1,18.98
4904 遠傳,2006/3/17,38.8,21.71
6505 台塑化,2006/3/17,57.4,31.76
9904 寶成,2006/3/17,22.45,9.94
0050 元大台灣50,2006/3/24,50.9,32.35
1101 台泥,2006/3/24,25,11.43
1102 亞泥,2006/3/24,22.4,8.42
1216 統一,2006/3/24,20,7.93
1301 台塑,2006/3/24,50.5,22.86
1303 南亞,2006/3/24,47.1,22.73
1402 遠東新,2006/3/24,22.55,10.27
2002 中鋼,2006/3/24,29.5,12.02
2105 正新,2006/3/24,23.15,5.54
2301 光寶科,2006/3/24,43.4,23.08
2303 聯電,2006/3/24,18.95,13.24
2308 台達電,2006/3/24,72.6,35.59
2317 鴻海,2006/3/24,187,44.22
2327 國巨,2006/3/24,12.4,30.42
2330 台積電,2006/3/24,59.8,32.93
2354 鴻準,2006/3/24,190.5,60.86
2357 華碩,2006/3/24,89.2,135.33
2382 廣達,2006/3/24,51,21.94
2395 研華,2006/3/24,85.9,33.39
2408 南亞科,2006/3/24,17.55,325.43
2409 友達,2006/3/24,48.1,28.76
2412 中華電,2006/3/24,60.8,32.6
2454 聯發科,2006/3/24,357,165.6
2474 可成,2006/3/24,280,89.24
2492 華新科,2006/3/24,33.7,26.21
2801 彰銀,2006/3/24,17.5,8.23
2823 中壽,2006/3/24,9.88,3.49
2880 華南金,2006/3/24,22,8.35
2881 富邦金,2006/3/24,27.15,14.51
2882 國泰金,2006/3/24,58.8,29.59
2883 開發金,2006/3/24,11.9,6.64
2884 玉山金,2006/3/24,20.4,7.18
2885 元大金,2006/3/24,11.1,6.92
2886 兆豐金,2006/3/24,23.35,11.36
2887 台新金,2006/3/24,17.45,8.25
2890 永豐金,2006/3/24,16.1,7.75
2891 中信金,2006/3/24,22.85,7.69
2892 第一金,2006/3/24,22.9,8.25
2912 統一超,2006/3/24,68.1,37.93
3008 大立光,2006/3/24,487,333.22
3045 台灣大,2006/3/24,30.4,19.17
4904 遠傳,2006/3/24,37.65,21.06
6505 台塑化,2006/3/24,57.5,31.81
9904 寶成,2006/3/24,22.5,9.97
0050 元大台灣50,2006/3/31,52.8,33.56
1101 台泥,2006/3/31,25,11.43
1102 亞泥,2006/3/31,22.8,8.57
1216 統一,2006/3/31,19.8,7.85
1301 台塑,2006/3/31,50.6,22.91
1303 南亞,2006/3/31,48.25,23.29
1402 遠東新,2006/3/31,22.75,10.36
2002 中鋼,2006/3/31,30.4,12.38
2105 正新,2006/3/31,23.7,5.67
2301 光寶科,2006/3/31,45,23.93
2303 聯電,2006/3/31,20.5,14.33
2308 台達電,2006/3/31,75.5,37.01
2317 鴻海,2006/3/31,201,47.53
2327 國巨,2006/3/31,12.45,30.54
2330 台積電,2006/3/31,64.2,35.35
2354 鴻準,2006/3/31,206.5,65.97
2357 華碩,2006/3/31,88,133.51
2382 廣達,2006/3/31,53.3,22.93
2395 研華,2006/3/31,89.9,34.95
2408 南亞科,2006/3/31,18.75,347.68
2409 友達,2006/3/31,48.8,29.18
2412 中華電,2006/3/31,61.2,32.81
2454 聯發科,2006/3/31,375.5,174.18
2474 可成,2006/3/31,292,93.06
2492 華新科,2006/3/31,32.55,25.31
2801 彰銀,2006/3/31,17.75,8.35
2823 中壽,2006/3/31,10.25,3.62
2880 華南金,2006/3/31,22.55,8.56
2881 富邦金,2006/3/31,27.5,14.69
2882 國泰金,2006/3/31,58,29.19
2883 開發金,2006/3/31,12,6.69
2884 玉山金,2006/3/31,20.8,7.32
2885 元大金,2006/3/31,11.6,7.23
2886 兆豐金,2006/3/31,24.45,11.89
2887 台新金,2006/3/31,17.9,8.46
2890 永豐金,2006/3/31,16.45,7.91
2891 中信金,2006/3/31,23.05,7.76
2892 第一金,2006/3/31,23.2,8.36
2912 統一超,2006/3/31,68.6,38.21
3008 大立光,2006/3/31,527,360.58
3045 台灣大,2006/3/31,30.9,19.49
4904 遠傳,2006/3/31,38.3,21.43
6505 台塑化,2006/3/31,58.3,32.26
9904 寶成,2006/3/31,23.25,10.3
0050 元大台灣50,2006/4/7,53.9,34.26
1101 台泥,2006/4/7,25,11.43
1102 亞泥,2006/4/7,22.7,8.53
1216 統一,2006/4/7,20,7.93
1301 台塑,2006/4/7,51.3,23.23
1303 南亞,2006/4/7,49.05,23.67
1402 遠東新,2006/4/7,23,10.47
2002 中鋼,2006/4/7,30.9,12.59
2105 正新,2006/4/7,24.7,5.91
2301 光寶科,2006/4/7,46.55,24.75
2303 聯電,2006/4/7,21.5,15.02
2308 台達電,2006/4/7,79.2,38.82
2317 鴻海,2006/4/7,208.5,49.3
2327 國巨,2006/4/7,13,31.89
2330 台積電,2006/4/7,67.4,37.11
2354 鴻準,2006/4/7,224,71.56
2357 華碩,2006/4/7,91.3,138.51
2382 廣達,2006/4/7,52.1,22.41
2395 研華,2006/4/7,97.3,37.82
2408 南亞科,2006/4/7,19.45,360.66
2409 友達,2006/4/7,48.6,29.06
2412 中華電,2006/4/7,59.5,31.9
2454 聯發科,2006/4/7,375,173.95
2474 可成,2006/4/7,314,100.07
2492 華新科,2006/4/7,34.2,26.59
2801 彰銀,2006/4/7,18.4,8.66
2823 中壽,2006/4/7,10.6,3.75
2880 華南金,2006/4/7,23.3,8.85
2881 富邦金,2006/4/7,28.35,15.15
2882 國泰金,2006/4/7,59.2,29.79
2883 開發金,2006/4/7,11.95,6.66
2884 玉山金,2006/4/7,21.4,7.53
2885 元大金,2006/4/7,12.2,7.61
2886 兆豐金,2006/4/7,23.9,11.62
2887 台新金,2006/4/7,18.2,8.6
2890 永豐金,2006/4/7,16.8,8.08
2891 中信金,2006/4/7,23.9,8.05
2892 第一金,2006/4/7,23.95,8.63
2912 統一超,2006/4/7,72,40.1
3008 大立光,2006/4/7,553,378.37
3045 台灣大,2006/4/7,31.3,19.74
4904 遠傳,2006/4/7,38,21.26
6505 台塑化,2006/4/7,59.7,33.03
9904 寶成,2006/4/7,24.6,10.9
0050 元大台灣50,2006/4/14,55.05,34.99
1101 台泥,2006/4/14,25,11.43
1102 亞泥,2006/4/14,24.5,9.21
1216 統一,2006/4/14,20.5,8.13
1301 台塑,2006/4/14,51.6,23.36
1303 南亞,2006/4/14,48.55,23.43
1402 遠東新,2006/4/14,24.3,11.07
2002 中鋼,2006/4/14,31.95,13.01
2105 正新,2006/4/14,24.6,5.88
2301 光寶科,2006/4/14,47.5,25.26
2303 聯電,2006/4/14,21.1,14.75
2308 台達電,2006/4/14,80.3,39.36
2317 鴻海,2006/4/14,213,50.37
2327 國巨,2006/4/14,13.95,34.22
